scheme_name,benefits,level,category,tags,combined
Scheme for Reimbursement of Educational Expenses to Hearing Impaired Students Pursuing Special Higher Education Courses Inside or Outside the Union Territory of Puducherry,- Reimbursement of entire fees from the first year of the course.,State/ UT,"Social welfare Empowerment, Education Learning","College,  Disability,  Fees,  Financial Asisstance,  Reimbursement,  Student","Scheme for Reimbursement of Educational Expenses to Hearing Impaired Students Pursuing Special Higher Education Courses Inside or Outside the Union Territory of Puducherry - Reimbursement of entire fees from the first year of the course. Social welfare Empowerment, Education Learning College,  Disability,  Fees,  Financial Asisstance,  Reimbursement,  Student"
Cash Award to the Meritorious Visually Impaired Students Obtaining First Three Ranks at the State Level in the SSLC and HSC Examination,"A cash award of 20,000/-, 15,000/- and 10,000/- to the first, second, and third rank hold",State/ UT,"Education Learning, Social welfare Empowerment","Award,  Disability,  Education,  School,  Student","Cash Award to the Meritorious Visually Impaired Students Obtaining First Three Ranks at the State Level in the SSLC and HSC Examination A cash award of 20,000/-, 15,000/- and 10,000/- to the first, second, and third rank hold Education Learning, Social welfare Empowerment Award,  Disability,  Education,  School,  Student"
Monthly Grant To Old Crafts Persons Pension Component of the Development of Handicrafts Scheme,"- A monthly grant of 2,000/-. This financial assistance continues until the lifetime of the beneficiary, subject to renewal every year. - In the case of the craftsperson s death, the living spouse is entitled to receive 1,000/-",State/ UT,Social welfare Empowerment,"Death,  Handicraft,  Pension,  Senior Citizen","Monthly Grant To Old Crafts Persons Pension Component of the Development of Handicrafts Scheme - A monthly grant of 2,000/-. This financial assistance continues until the lifetime of the beneficiary, subject to renewal every year. - In the case of the craftsperson s death, the living spouse is entitled to receive 1,000/- Social welfare Empowerment Death,  Handicraft,  Pension,  Senior Citizen"
Organic Manure Scheme,Type of assistance - Training and awareness campaign in the production of organic composts.,State/ UT,"Agriculture,Rural Environment","Agriculture,  Farmer,  Organic Manure,  Training","Organic Manure Scheme Type of assistance - Training and awareness campaign in the production of organic composts. Agriculture,Rural Environment Agriculture,  Farmer,  Organic Manure,  Training"
ýýýTraining in Coirýýý Component of the Development of Coir Scheme,"- Stipend of 1,500 per month per trainee during the 6-month training period. - An honorarium of 300 per month per trainee for the trainer, with a maximum of 3,000 per month. - Compensation for wastage of raw materials 200 per month per trainee, with a maximum",State/ UT,Skills Employment,"Coir,  Employment,  Poor,  Rural,  Skill,  Training","ýýýTraining in Coirýýý Component of the Development of Coir Scheme - Stipend of 1,500 per month per trainee during the 6-month training period. - An honorarium of 300 per month per trainee for the trainer, with a maximum of 3,000 per month. - Compensation for wastage of raw materials 200 per month per trainee, with a maximum Skills Employment Coir,  Employment,  Poor,  Rural,  Skill,  Training"
Agriculture Information Unit Scheme,"Pattern of Assistance - Free distribution of information leaflets, package of practices, booklets etc., including sponsoring Farmers Group, SHG to exposure programmes like trade fairs, expos, exhibitions in and outside the State. Type of Assistance and Entitlement If any - Farmers Exposure Trip, Holding Crop Competition, Printing of booklets, leaflets, farmer calendar, publications, observation of World Food Day, Sponsoring farmers to participate in Trade Fair, Exhibition, Kisan Mela.",State/ UT,"Agriculture,Rural Environment","Agriculture,  Booklets,  Farmer,  Information Unit,  Leaflets","Agriculture Information Unit Scheme Pattern of Assistance - Free distribution of information leaflets, package of practices, booklets etc., including sponsoring Farmers Group, SHG to exposure programmes like trade fairs, expos, exhibitions in and outside the State. Type of Assistance and Entitlement If any - Farmers Exposure Trip, Holding Crop Competition, Printing of booklets, leaflets, farmer calendar, publications, observation of World Food Day, Sponsoring farmers to participate in Trade Fair, Exhibition, Kisan Mela. Agriculture,Rural Environment Agriculture,  Booklets,  Farmer,  Information Unit,  Leaflets"
National Award For Senior Citizens Vayoshreshtha Samman Best District Panchayat In Providing Services And Facilities To Senior Citizens,"Decoration The Awardee is given a Citation, Memento, and a Cash award of 10,00,000. Presentation of Award Ceremony Details 1. The Award shall be presented in New Delhi at a special ceremony/function to be held on the occasion of the International Day of Older Persons on the 1st of October every year. 1. The Awards shall be presented by the President of India or the Prime Minister of India. 1. The boarding and lodging expenses of the awardees including one companion for each awardee shall be borne by the Central Government.1. The to-and-fro travelling expenses and accommodation for up to one day prior to and after the date of the Samman ceremony depending upon the actual arrival and departure dates shall be arranged and the expenditure shall be reimbursed by the Central Government.1. The TA/ DA admissibility of the awardees and one companion shall be equivalent to that of the Joint Secretary to the Government of I",Central,Social welfare Empowerment,"Award,  Institution,  Panchayat,  Senior Citizen,  Social Welfare","National Award For Senior Citizens Vayoshreshtha Samman Best District Panchayat In Providing Services And Facilities To Senior Citizens Decoration The Awardee is given a Citation, Memento, and a Cash award of 10,00,000. Presentation of Award Ceremony Details 1. The Award shall be presented in New Delhi at a special ceremony/function to be held on the occasion of the International Day of Older Persons on the 1st of October every year. 1. The Awards shall be presented by the President of India or the Prime Minister of India. 1. The boarding and lodging expenses of the awardees including one companion for each awardee shall be borne by the Central Government.1. The to-and-fro travelling expenses and accommodation for up to one day prior to and after the date of the Samman ceremony depending upon the actual arrival and departure dates shall be arranged and the expenditure shall be reimbursed by the Central Government.1. The TA/ DA admissibility of the awardees and one companion shall be equivalent to that of the Joint Secretary to the Government of I Social welfare Empowerment Award,  Institution,  Panchayat,  Senior Citizen,  Social Welfare"
National Award For Senior Citizens vayoshreshtha Samman Iconic Mother,"Decoration The Awardee is given a Citation, Memento, and a Cash award of 2,50,000/-. No. of Awardees The total number of Awardees is 15 Fifteen . Presentation of Award Ceremony Details 1. The Award shall be presented in New Delhi at a special ceremony/function to be held on the occasion of the International Day of Older Persons on the 1st of October every year. 1. The Awards shall be presented by the President of India or the Prime Minister of India. 1. The boarding and lodging expenses of the awardees including one companion for each awardee shall be borne by the Central Government.1. The to-and-fro travelling expenses and accommodation for up to one day prior to and after the date of the Samman ceremony depending upon the actual arrival and departure dates shall be arranged and the expenditure shall be reimbursed by the Central Government.1. The TA/ DA admissibility of the awardees and one companion shall be equivalent to that of the Joint Sec to the Government of India.",Central,"Social welfare Empowerment, Women and Child","Award,  Mother,  Senior Citizen,  Social Welfare","National Award For Senior Citizens vayoshreshtha Samman Iconic Mother Decoration The Awardee is given a Citation, Memento, and a Cash award of 2,50,000/-. No. of Awardees The total number of Awardees is 15 Fifteen . Presentation of Award Ceremony Details 1. The Award shall be presented in New Delhi at a special ceremony/function to be held on the occasion of the International Day of Older Persons on the 1st of October every year. 1. The Awards shall be presented by the President of India or the Prime Minister of India. 1. The boarding and lodging expenses of the awardees including one companion for each awardee shall be borne by the Central Government.1. The to-and-fro travelling expenses and accommodation for up to one day prior to and after the date of the Samman ceremony depending upon the actual arrival and departure dates shall be arranged and the expenditure shall be reimbursed by the Central Government.1. The TA/ DA admissibility of the awardees and one companion shall be equivalent to that of the Joint Sec to the Government of India. Social welfare Empowerment, Women and Child Award,  Mother,  Senior Citizen,  Social Welfare"
"Organizing/ Participation in Exhibitions /Trade Fairs /Expo /Seminars /Investors Meets, etc under Marketing And Publicity","- Promotion Campaigns, Exhibitions, Trade Fairs, Investors Meets, Seminars etc., are arranged in important towns/cities of India and abroad, for the market promotion display cum sale for MSME products industrial products, handicraft products, cottage industries products, etc . - The participating artisans/unit industrialists are paid traveling expenses restricted to second-class railway fare and Daily Allowance DA at the rate of 400/- per day per person. - Payment of honorarium and winter clothing for the officials of this department on duty in India International Trade Fair, New Delhi and other Fair/ Exhibitions held in other major cities. a Honorarium at the rate of 400/- per day in addition to the normal DA. b Winter clothing allowance not exceeding 3,500/- during",State/ UT,Business Entrepreneurship,"Campaign,  Exhibition,  Handicraft,  Honorarium,  Investment,  Marketing","Organizing/ Participation in Exhibitions /Trade Fairs /Expo /Seminars /Investors Meets, etc under Marketing And Publicity - Promotion Campaigns, Exhibitions, Trade Fairs, Investors Meets, Seminars etc., are arranged in important towns/cities of India and abroad, for the market promotion display cum sale for MSME products industrial products, handicraft products, cottage industries products, etc . - The participating artisans/unit industrialists are paid traveling expenses restricted to second-class railway fare and Daily Allowance DA at the rate of 400/- per day per person. - Payment of honorarium and winter clothing for the officials of this department on duty in India International Trade Fair, New Delhi and other Fair/ Exhibitions held in other major cities. a Honorarium at the rate of 400/- per day in addition to the normal DA. b Winter clothing allowance not exceeding 3,500/- during Business Entrepreneurship Campaign,  Exhibition,  Handicraft,  Honorarium,  Investment,  Marketing"
Entrepreneurship Development Programme Component of the Development of Coir Scheme,- Entrepreneurship training to prospective entrepreneurs to start the coir industry. - Awareness programmes on modern technology and incentives under the state grant for existing coir industries.,State/ UT,Business Entrepreneurship,"Awareness,  Coir,  Entrepreneur,  Industry,  Skill,  Training","Entrepreneurship Development Programme Component of the Development of Coir Scheme - Entrepreneurship training to prospective entrepreneurs to start the coir industry. - Awareness programmes on modern technology and incentives under the state grant for existing coir industries. Business Entrepreneurship Awareness,  Coir,  Entrepreneur,  Industry,  Skill,  Training"
Grant to Silk Societies/Agency Component of the Development of Silk Scheme,"Grant of 2,00,000 per annum for 5 years, allocated for Administrative and Marketing expe",State/ UT,Business Entrepreneurship,"Artisan,  Business,  Grant,  Silk,  Society","Grant to Silk Societies/Agency Component of the Development of Silk Scheme Grant of 2,00,000 per annum for 5 years, allocated for Administrative and Marketing expe Business Entrepreneurship Artisan,  Business,  Grant,  Silk,  Society"
Grant of Margin Money for Availing Capital Loan Component of the Development of Coir Scheme,"- 25 margin money, capped at 25,00,000, upon receipt of a financial institution s sanction order for a project worth 1,00,00,000. - The loan amount will be released to the bank on behalf of the entrepreneurs. - The commercial production should commence within six months of the Margin Money Gran",State/ UT,Business Entrepreneurship,"Business,  Coir,  Entrepreneur,  Loan","Grant of Margin Money for Availing Capital Loan Component of the Development of Coir Scheme - 25 margin money, capped at 25,00,000, upon receipt of a financial institution s sanction order for a project worth 1,00,00,000. - The loan amount will be released to the bank on behalf of the entrepreneurs. - The commercial production should commence within six months of the Margin Money Gran Business Entrepreneurship Business,  Coir,  Entrepreneur,  Loan"
The Andaman Nicobar Islands Allowance to Destitute Women Scheme,1. The quantum of Allowance to Destitute Women shall be 2500/- per month subject to eligibility. 1. Payment of allowance shall be made through Bank Account on a monthly ba,State/ UT,"Social welfare Empowerment, Women and Child","Allowance,  Destitute,  Financial Assistance,  Woman","The Andaman Nicobar Islands Allowance to Destitute Women Scheme 1. The quantum of Allowance to Destitute Women shall be 2500/- per month subject to eligibility. 1. Payment of allowance shall be made through Bank Account on a monthly ba Social welfare Empowerment, Women and Child Allowance,  Destitute,  Financial Assistance,  Woman"
Sales Rebate under Marketing And Publicity,"15 as a rebate on the sales, subject to a maximum of 15,00,000/- per a",State/ UT,Business Entrepreneurship,"Business,  Handicrafts,  Industry,  MSME,  Rebate,  Sales","Sales Rebate under Marketing And Publicity 15 as a rebate on the sales, subject to a maximum of 15,00,000/- per a Business Entrepreneurship Business,  Handicrafts,  Industry,  MSME,  Rebate,  Sales"
The Andaman Nicobar Islands Old Age Assistance Scheme,"1. The amount of assistance for persons in the age group 60-79 years shall be 2,500/- per month. 1. The amount of assistance for persons aged 80 years above shall be 3,000/-. Note 01 The scheme also included the beneficiaries of the Indira Gandhi National Old Age Pension Scheme IGNOAPS . Note 02 Payment of allowance shall be made through Bank Account on a mon",State/ UT,Social welfare Empowerment,"Financial Assistance,  Old Age,  Pension,  Senior Citizen","The Andaman Nicobar Islands Old Age Assistance Scheme 1. The amount of assistance for persons in the age group 60-79 years shall be 2,500/- per month. 1. The amount of assistance for persons aged 80 years above shall be 3,000/-. Note 01 The scheme also included the beneficiaries of the Indira Gandhi National Old Age Pension Scheme IGNOAPS . Note 02 Payment of allowance shall be made through Bank Account on a mon Social welfare Empowerment Financial Assistance,  Old Age,  Pension,  Senior Citizen"
Educational Assistance Scheme for the Pre-Matric and Post-Matric Scholarship to Children of Construction Workers Registered with the MBOCWWB,"Value of the Scholarship 1. The rate of the scholarship for different courses/subjects is as follows Sl. No.Level of StudyStipend Per Month 1Degree 800/-2Diploma 600/-3Certificate course 600/-4Class XI XII 600/-5Class VIII to X 500/-6Class V to VII 400/- 2. Reader s charges for Blind students Blind Scholars Blind Students/Scholars will be given an additional amount of 200/- per month as Readers charges subject to production of disability certificate issued by the competent authority . 3. A One Time Book and Uniform Grant to students at 2 months stipend will be granted for the students of the following group of classes Sl. No. Class/Course Grant Amount One time Grant 1Class I- Class II 400/-2Class III- Class IV 600/-3Class 5 - Class 7 800/-4Class 8 - Class 10 1,000/-5Class 11 - Class 12 1,200/-6Certificate course 1,200/-7Diplomses for which the scholarship will be granted are subject to revision from time to time. Duration of Awards The award once made will be tenable from the stage at which it is given to the completion of the course, subject to good conduct and regular attendance. Noncompliance with any of the eligibility conditions and rules may cause the discontinuity of the scholarship at any time. Payment The stipend will be paid to the selected students by the Building Other Construction Workers Welfare Board in accordance with the procedure laid down by the Building Other Construction Workers Welfare Board.",State/ UT,"Education Learning, Social welfare Empowerment","Building Worker,  Construction Worker,  Educational Assistance,  Labour,  Post-Matric,  Pre-Matric,  Scholarship,  Student","Educational Assistance Scheme for the Pre-Matric and Post-Matric Scholarship to Children of Construction Workers Registered with the MBOCWWB Value of the Scholarship 1. The rate of the scholarship for different courses/subjects is as follows Sl. No.Level of StudyStipend Per Month 1Degree 800/-2Diploma 600/-3Certificate course 600/-4Class XI XII 600/-5Class VIII to X 500/-6Class V to VII 400/- 2. Reader s charges for Blind students Blind Scholars Blind Students/Scholars will be given an additional amount of 200/- per month as Readers charges subject to production of disability certificate issued by the competent authority . 3. A One Time Book and Uniform Grant to students at 2 months stipend will be granted for the students of the following group of classes Sl. No. Class/Course Grant Amount One time Grant 1Class I- Class II 400/-2Class III- Class IV 600/-3Class 5 - Class 7 800/-4Class 8 - Class 10 1,000/-5Class 11 - Class 12 1,200/-6Certificate course 1,200/-7Diplomses for which the scholarship will be granted are subject to revision from time to time. Duration of Awards The award once made will be tenable from the stage at which it is given to the completion of the course, subject to good conduct and regular attendance. Noncompliance with any of the eligibility conditions and rules may cause the discontinuity of the scholarship at any time. Payment The stipend will be paid to the selected students by the Building Other Construction Workers Welfare Board in accordance with the procedure laid down by the Building Other Construction Workers Welfare Board. Education Learning, Social welfare Empowerment Building Worker,  Construction Worker,  Educational Assistance,  Labour,  Post-Matric,  Pre-Matric,  Scholarship,  Student"
Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme-I,"- Financial Assistance of 25,000/-. - One sovereign 8gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal 15,000/- through Electronic Clearing Service and 10,000/- as a National Sav",State/ UT,"Women and Child, Social welfare Empowerment","Financial Assistance,  Gold,  Rehabilitate,  Remarriage,  Widow","Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme-I - Financial Assistance of 25,000/-. - One sovereign 8gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal 15,000/- through Electronic Clearing Service and 10,000/- as a National Sav Women and Child, Social welfare Empowerment Financial Assistance,  Gold,  Rehabilitate,  Remarriage,  Widow"
Nirman Shramikon ke Liye Vyavsayik Rin Par Byaj ki Punarbharan Yojana,"The board will reimburse the interest payable on business loans up to 5,00,000",State/ UT,"Banking,Financial Services and Insurance","Construction Worker,  Financial Support,  Loan","Nirman Shramikon ke Liye Vyavsayik Rin Par Byaj ki Punarbharan Yojana The board will reimburse the interest payable on business loans up to 5,00,000 Banking,Financial Services and Insurance Construction Worker,  Financial Support,  Loan"
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I,"- Financial assistance of 25,000/-. - One sovereign 8gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal Through Electronic Clearing Serv",State/ UT,"Women and Child, Social welfare Empowerment","Girl,  Gold,  Marriage,  Orphan","Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I - Financial assistance of 25,000/-. - One sovereign 8gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal Through Electronic Clearing Serv Women and Child, Social welfare Empowerment Girl,  Gold,  Marriage,  Orphan"
Chief Minister s Girl Child Protection Sc,"- A fixed deposit FD of 50,000/- in the name of the girl child A copy of the FD receipt is given to the family . - Renewal of FD after five years. - An annual incentive of 1,800/- from the 6th year of the FD. - The amount deposited along with accrued interest is given to the girl child when she attains 18 years of age. NOTE The matured amount will be given to the girl child only if she appears for the 10th standard p",State/ UT,"Women and Child, Social welfare Empowerment","Child,  Education,  Family,  Financial Assistance,  Girl,  Poor","Chief Minister s Girl Child Protection Sc - A fixed deposit FD of 50,000/- in the name of the girl child A copy of the FD receipt is given to the family . - Renewal of FD after five years. - An annual incentive of 1,800/- from the 6th year of the FD. - The amount deposited along with accrued interest is given to the girl child when she attains 18 years of age. NOTE The matured amount will be given to the girl child only if she appears for the 10th standard p Women and Child, Social welfare Empowerment Child,  Education,  Family,  Financial Assistance,  Girl,  Poor"
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II,"- Financial assistance of 25,000/-. - One sovereign 8gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal Through Electronic Clearing Serv",State/ UT,"Women and Child, Social welfare Empowerment","Girl,  Gold,  Marriage,  Orphan","Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II - Financial assistance of 25,000/-. - One sovereign 8gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal Through Electronic Clearing Serv Women and Child, Social welfare Empowerment Girl,  Gold,  Marriage,  Orphan"
Free Motorized Tricycle Scheme for Persons with Disabilities,"- The maximum grant amount under this scheme is the motorized actual price of tricycles or 25,000/- whichever minimum per person with disabilities will be permissible. Note If the cost of a motorized bicycle exceeds 25,000/-, the expenditure incurred in addition to the maximum grant amount of 25,000/- will be borne by the bene",State/ UT,Social welfare Empowerment,"Disabilities,  Empowerment,  Motorized Tricycle,  State","Free Motorized Tricycle Scheme for Persons with Disabilities - The maximum grant amount under this scheme is the motorized actual price of tricycles or 25,000/- whichever minimum per person with disabilities will be permissible. Note If the cost of a motorized bicycle exceeds 25,000/-, the expenditure incurred in addition to the maximum grant amount of 25,000/- will be borne by the bene Social welfare Empowerment Disabilities,  Empowerment,  Motorized Tricycle,  State"
Petrol Subsidy To Persons With Disability,"- Petrol Subsidy Scheme to Persons with Disability provides benefits in the form of subsidy on Petrol and Diesel - Under this scheme 50 subsidy on actual expenditure on purchase of petrol/ diesel provided - Vehicle of 2 Horse Power and Below 15 litters per month - Vehicle of more than 2Horse Power More than 15 litters per month - Due to this scheme, some financial burden will be reduced from disabling person and fa",State,Social welfare Empowerment,"Disable Person,  Person With Disability,  Petrol Subsidy,  Physically Handicapped,  Scheme Handicapped Person","Petrol Subsidy To Persons With Disability - Petrol Subsidy Scheme to Persons with Disability provides benefits in the form of subsidy on Petrol and Diesel - Under this scheme 50 subsidy on actual expenditure on purchase of petrol/ diesel provided - Vehicle of 2 Horse Power and Below 15 litters per month - Vehicle of more than 2Horse Power More than 15 litters per month - Due to this scheme, some financial burden will be reduced from disabling person and fa Social welfare Empowerment Disable Person,  Person With Disability,  Petrol Subsidy,  Physically Handicapped,  Scheme Handicapped Person"
Shramik Parivahan Yojana GBOCWWB,"1. Under the scheme, registered construction workers will receive a bus pass at a concessional rate for commuting from Kadianaka to the workplace. 1. Under the scheme, the beneficiary is required to contribute 20 of the pass amount, while the board covers the remaining 80 . Note The pass shall be issued at a concessional rate monthly or quarterly or six-monthly or annually as per the demand of the registered construction worker.",State/ UT,"Travel Tourism, Social welfare Empowerment","Building Worker,  Bus Pass,  Construction Worker,  Labour","Shramik Parivahan Yojana GBOCWWB 1. Under the scheme, registered construction workers will receive a bus pass at a concessional rate for commuting from Kadianaka to the workplace. 1. Under the scheme, the beneficiary is required to contribute 20 of the pass amount, while the board covers the remaining 80 . Note The pass shall be issued at a concessional rate monthly or quarterly or six-monthly or annually as per the demand of the registered construction worker. Travel Tourism, Social welfare Empowerment Building Worker,  Bus Pass,  Construction Worker,  Labour"
Employment Incentive under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries,"- Wage/Employment Subsidy of 20 wage/salary up to a maximum of 5,00,000/- per annum for the workers who are covered under the Provident Fund PF if applicable . - Employment Incentives , granted only if the unit has provided at least 60 of the employment to the people of UT of Puducherry. Wage/Salary would be limited by the minimum wages prescribed by the Government from time to t",State/ UT,Business Entrepreneurship,"Employment,  Entrepreneur,  Incentive,  Industry,  Subsidy","Employment Incentive under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Wage/Employment Subsidy of 20 wage/salary up to a maximum of 5,00,000/- per annum for the workers who are covered under the Provident Fund PF if applicable . - Employment Incentives , granted only if the unit has provided at least 60 of the employment to the people of UT of Puducherry. Wage/Salary would be limited by the minimum wages prescribed by the Government from time to t Business Entrepreneurship Employment,  Entrepreneur,  Incentive,  Industry,  Subsidy"
Mukhyamantri Sports Development Scheme - Unemployed Young Professional Sportsperson,"Fixed Remuneration of 20,000/- per mo",State/ UT,Skills Employment,"Employment,  Opportunity,  Remuneration,  Sports,  Sportsperson,  Unemployed","Mukhyamantri Sports Development Scheme - Unemployed Young Professional Sportsperson Fixed Remuneration of 20,000/- per mo Skills Employment Employment,  Opportunity,  Remuneration,  Sports,  Sportsperson,  Unemployed"
Shree Nanaji Deshmukh Awas Yojana GBOCWWB,"1. Under the scheme, financial assistance of 1,60,000/- is provided to registered construction work",State/ UT,Housing Shelter,"Awas,  Building Worker,  Construction Worker,  Financial Assistance,  House,  Labour","Shree Nanaji Deshmukh Awas Yojana GBOCWWB 1. Under the scheme, financial assistance of 1,60,000/- is provided to registered construction work Housing Shelter Awas,  Building Worker,  Construction Worker,  Financial Assistance,  House,  Labour"
Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme-II,"- Financial assistance of 50,000 given to the newly married couple. - 1 Sovereign 8 gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal 30,000 through Electronic Clearing Service and 20,000 in the form of National Sav",State/ UT,"Women and Child, Social welfare Empowerment","Backward Class,  Financial Assistance,  Inter-Caste,  Marriage","Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme-II - Financial assistance of 50,000 given to the newly married couple. - 1 Sovereign 8 gm 22-carat gold coin for making Thirumangalyam. Mode of Disbursal 30,000 through Electronic Clearing Service and 20,000 in the form of National Sav Women and Child, Social welfare Empowerment Backward Class,  Financial Assistance,  Inter-Caste,  Marriage"
Mukhyamantri Vishesh Yogyajan Sammaan Pension Yojana,"The following monthly pension will be provided Age CriteriaAmount75 Years or Less 1,000/- per Month.75 Years or More 1,250/- per Month.Leprosy Free Patient 2,500/- per Month.Silicosis Disease Patient",State/ UT,Social welfare Empowerment,"Disability,  Financial,  Old Age,  Pension","Mukhyamantri Vishesh Yogyajan Sammaan Pension Yojana The following monthly pension will be provided Age CriteriaAmount75 Years or Less 1,000/- per Month.75 Years or More 1,250/- per Month.Leprosy Free Patient 2,500/- per Month.Silicosis Disease Patient Social welfare Empowerment Disability,  Financial,  Old Age,  Pension"
Mukhyamantri Bhagyalaxmi Bond Scheme GBOCWWB,"1. Under the scheme, a bond of 25,000/- or of the amount as resolved from time to time, with maturity at 18 year of the age of the girl child, upto one girl is given to the registered Building and other Construction workers. 1. The amount can be withdrawn by the daughter after completing 18 years of",State/ UT,"Social welfare Empowerment, Women and Child","Bhagyalakshmi,  Birth,  Bond,  Building Worker,  Construction Worker,  Girl Child","Mukhyamantri Bhagyalaxmi Bond Scheme GBOCWWB 1. Under the scheme, a bond of 25,000/- or of the amount as resolved from time to time, with maturity at 18 year of the age of the girl child, upto one girl is given to the registered Building and other Construction workers. 1. The amount can be withdrawn by the daughter after completing 18 years of Social welfare Empowerment, Women and Child Bhagyalakshmi,  Birth,  Bond,  Building Worker,  Construction Worker,  Girl Child"
Vishist Coaching Scheme GBOCWWB,"1. Under the scheme, the registration fee and coaching/tuition fees for the children of registered construction workers will be reimbursed/paid.",State/ UT,Education Learning,"Building Worker,  Coaching,  Construction Worker,  Labour,  Tuition","Vishist Coaching Scheme GBOCWWB 1. Under the scheme, the registration fee and coaching/tuition fees for the children of registered construction workers will be reimbursed/paid. Education Learning Building Worker,  Coaching,  Construction Worker,  Labour,  Tuition"
Mukhyamantri Vriddhjan Samman Pension Yojana,"Pension amount 1,000/- per mon",State/ UT,Social welfare Empowerment,"Financial,  Old Age,  Pension,  Senior Citizens","Mukhyamantri Vriddhjan Samman Pension Yojana Pension amount 1,000/- per mon Social welfare Empowerment Financial,  Old Age,  Pension,  Senior Citizens"
Housing Subsidy Scheme GBOCWWB,"1. Under the scheme, the assistance of 1,50,000/- will be provided to registered construction workers for a duration of 5 years, with 30,000/- disbursed annually subject to the terms of assistance. 1. The construction workers who have taken a loan up to a maximum of 15 lakhs to buy their house will be provided 30,000/- per year for the f",State/ UT,Housing Shelter,"Building Worker,  Construction Worker,  Financial Assistance,  House,  Labour,  Loan","Housing Subsidy Scheme GBOCWWB 1. Under the scheme, the assistance of 1,50,000/- will be provided to registered construction workers for a duration of 5 years, with 30,000/- disbursed annually subject to the terms of assistance. 1. The construction workers who have taken a loan up to a maximum of 15 lakhs to buy their house will be provided 30,000/- per year for the f Housing Shelter Building Worker,  Construction Worker,  Financial Assistance,  House,  Labour,  Loan"
Maternity Assistance Scheme- Gujarat Labour Welfare Board,"1. Under this scheme, financial assistance of 10,000/- is provided to female workers and the wives of workers to cover expenses incurred during the maternity per",State/ UT,"Social welfare Empowerment, Women and Child","Financial Assistance,  Industrial Worker,  Maternity,  Organized Worker,  Woman","Maternity Assistance Scheme- Gujarat Labour Welfare Board 1. Under this scheme, financial assistance of 10,000/- is provided to female workers and the wives of workers to cover expenses incurred during the maternity per Social welfare Empowerment, Women and Child Financial Assistance,  Industrial Worker,  Maternity,  Organized Worker,  Woman"
Scheme of Extending Family Maintenance Grant to the Families of the Deceased Famous Artists,"Financial Assistance of 25,00",State/ UT,"Social welfare Empowerment, Sports Culture","Artist,  Culture,  Death,  Family,  Financial Assistance","Scheme of Extending Family Maintenance Grant to the Families of the Deceased Famous Artists Financial Assistance of 25,00 Social welfare Empowerment, Sports Culture Artist,  Culture,  Death,  Family,  Financial Assistance"
Shramyogi Home Town Scheme- Gujarat Labour Welfare Board,"1. Under the scheme, migrant laborers employed in the organized sector can avail of payment for railway fare to travel to or from their home country, to the nearest railway station. Note The assistance amount will be credited to the beneficiary s bank account through DBT.",State/ UT,Social welfare Empowerment,"Home Town,  Migrant Labourers,  Organized Worker,  Payment Of Railway Fares","Shramyogi Home Town Scheme- Gujarat Labour Welfare Board 1. Under the scheme, migrant laborers employed in the organized sector can avail of payment for railway fare to travel to or from their home country, to the nearest railway station. Note The assistance amount will be credited to the beneficiary s bank account through DBT. Social welfare Empowerment Home Town,  Migrant Labourers,  Organized Worker,  Payment Of Railway Fares"
Laptop Purchase Assistance Scheme- Gujarat Labour Welfare Board,"1. Under the scheme, 50 of the amount or 25,000/- whichever is less will be given to the student admitted in a professional or designing course, with consideration to the laptop price limit of ï",State/ UT,Social welfare Empowerment,"Industrial Worker,  Labour,  Laptop,  Student","Laptop Purchase Assistance Scheme- Gujarat Labour Welfare Board 1. Under the scheme, 50 of the amount or 25,000/- whichever is less will be given to the student admitted in a professional or designing course, with consideration to the laptop price limit of ï Social welfare Empowerment Industrial Worker,  Labour,  Laptop,  Student"
Scheme for Pension Benefits to the Journalists/Photojournalists,"Pension of 10,000/- per mo",State/ UT,"Social welfare Empowerment, Skills Employment","Financial Assistance,  Journalist,  Pension,  Retired,  Senior Citizen","Scheme for Pension Benefits to the Journalists/Photojournalists Pension of 10,000/- per mo Social welfare Empowerment, Skills Employment Financial Assistance,  Journalist,  Pension,  Retired,  Senior Citizen"
