scheme_name,benefits,level,category,tags,combined
Financial Support Scheme,"S. No. Family income in per annum Fee waiver percentage Remarks Category 1Less than or equal to 4,00,000/Up to 100 Actual fee or up to a maximum of 10,000/-Category 2Between 4,00,000/- and 8,00,000/-Up to 50 Actual fee or up to",Central,Education Learning,"Delhi University,  EWS,  Fee Waiver,  Financial Assistance,  OBC","Financial Support Scheme S. No. Family income in per annum Fee waiver percentage Remarks Category 1Less than or equal to 4,00,000/Up to 100 Actual fee or up to a maximum of 10,000/-Category 2Between 4,00,000/- and 8,00,000/-Up to 50 Actual fee or up to Education Learning Delhi University,  EWS,  Fee Waiver,  Financial Assistance,  OBC"
West Bengal Textile Incentive Scheme Incentive for Energy Efficiency,"- 50 subject to a maximum of 2,00,000/- For the cost of energy audit . - 25 for subject to a maximum of 10,00,000/- For the cost of installations for energy conservati",State/ UT,Business Entrepreneurship,"Electricity Duty,  Entrepreneurship,  Incentives,  Reimbursement,  Subsidy,  Textile,  Waiver","West Bengal Textile Incentive Scheme Incentive for Energy Efficiency - 50 subject to a maximum of 2,00,000/- For the cost of energy audit . - 25 for subject to a maximum of 10,00,000/- For the cost of installations for energy conservati Business Entrepreneurship Electricity Duty,  Entrepreneurship,  Incentives,  Reimbursement,  Subsidy,  Textile,  Waiver"
Incentive for Purchase of Electric Scooter for the Daughter of a Registered Construction Worker HBOCWWB,"1. Under this scheme, a maximum benefit of 50,000/- or the actual ex-showroom price of an electric scooter, whichever is lower, will be provided to the daughter of a registered construction worker in the form of e-R",State/ UT,"Social welfare Empowerment, Women and Child","Building Worker,  Construction Worker,  Daughter,  Electric Scooter,  Financial Assistance,  Girl,  Student","Incentive for Purchase of Electric Scooter for the Daughter of a Registered Construction Worker HBOCWWB 1. Under this scheme, a maximum benefit of 50,000/- or the actual ex-showroom price of an electric scooter, whichever is lower, will be provided to the daughter of a registered construction worker in the form of e-R Social welfare Empowerment, Women and Child Building Worker,  Construction Worker,  Daughter,  Electric Scooter,  Financial Assistance,  Girl,  Student"
Financial Assistance Kanyadaan on the Occasion of Marriage of Daughter- Haryana Silicosis Board,"1. Under this scheme, financial assistance of 51,000/- is provided to workers suffering from silicosis for the marriage of up to three daught",State/ UT,Social welfare Empowerment,"Financial Assistance,  Kanyadaan,  Marriage Of Daughter,  Silicosis,  Worker","Financial Assistance Kanyadaan on the Occasion of Marriage of Daughter- Haryana Silicosis Board 1. Under this scheme, financial assistance of 51,000/- is provided to workers suffering from silicosis for the marriage of up to three daught Social welfare Empowerment Financial Assistance,  Kanyadaan,  Marriage Of Daughter,  Silicosis,  Worker"
Financial Assistance on Marriage of Sons- Haryana Silicosis Board,"1. Under this scheme, financial assistance of 11,000/- is provided to workers suffering from silicosis for the marriage of up to two s",State/ UT,Social welfare Empowerment,"Financial Assistance,  Marriage Of Sons,  Silicosis,  Worker","Financial Assistance on Marriage of Sons- Haryana Silicosis Board 1. Under this scheme, financial assistance of 11,000/- is provided to workers suffering from silicosis for the marriage of up to two s Social welfare Empowerment Financial Assistance,  Marriage Of Sons,  Silicosis,  Worker"
Solar Energy Corporation of India SECI Internship,"Stipend - For training periods less than 6 months 8,000/- per month - For training periods from 6 months to 3 years 12,000/- per month Completion Certificate - HR issues a certificate upon successful completion of the internship, confirming attendance and work supervision. NOTE The internship program does not include compensation of any kind, boarding, lodging, transport",Central,"Skills Employment, Education Learning","Graduate,  Internship,  Post-Graduate,  Stipend,  Student","Solar Energy Corporation of India SECI Internship Stipend - For training periods less than 6 months 8,000/- per month - For training periods from 6 months to 3 years 12,000/- per month Completion Certificate - HR issues a certificate upon successful completion of the internship, confirming attendance and work supervision. NOTE The internship program does not include compensation of any kind, boarding, lodging, transport Skills Employment, Education Learning Graduate,  Internship,  Post-Graduate,  Stipend,  Student"
Rehabilitation Assistance- Haryana Silicosis Board,"1. Under this scheme, a one-time assistance of 5,00,000/- will be given to silicosis-affected workers upon confirmation by the Silicosis Diagnosis Board. 1. In case of the death of a worker before receiving the rehabilitation assistance after confirmation of Silicosis, the assistance shall be payable to - Widow/ widower if the worker was married or - To one of the living parents if the worker was unmar",State/ UT,Social welfare Empowerment,"Financial Assistance,  Labour,  Rehabilitation,  Silicosis,  Widow,  Widower,  Worker","Rehabilitation Assistance- Haryana Silicosis Board 1. Under this scheme, a one-time assistance of 5,00,000/- will be given to silicosis-affected workers upon confirmation by the Silicosis Diagnosis Board. 1. In case of the death of a worker before receiving the rehabilitation assistance after confirmation of Silicosis, the assistance shall be payable to - Widow/ widower if the worker was married or - To one of the living parents if the worker was unmar Social welfare Empowerment Financial Assistance,  Labour,  Rehabilitation,  Silicosis,  Widow,  Widower,  Worker"
Financial Assistance to Persons Suffering from Rare Diseases,"1. Under this scheme, financial assistance of 3,000/- per month will be provided starting from 01.01.2",State/ UT,Social welfare Empowerment,"Financial Assistance,  Rare Diseases","Financial Assistance to Persons Suffering from Rare Diseases 1. Under this scheme, financial assistance of 3,000/- per month will be provided starting from 01.01.2 Social welfare Empowerment Financial Assistance,  Rare Diseases"
Silicosis Rehabilitation Pension- Haryana Silicosis Board,"1. Under this scheme, a monthly pension of 4,000/- is given to the Silicosis-affected worker categorized as category A, B, or C according to the ILO Classification, until he/she remains al",State/ UT,Social welfare Empowerment,"Pension,  Rehabilitation,  Silicosis,  Worker","Silicosis Rehabilitation Pension- Haryana Silicosis Board 1. Under this scheme, a monthly pension of 4,000/- is given to the Silicosis-affected worker categorized as category A, B, or C according to the ILO Classification, until he/she remains al Social welfare Empowerment Pension,  Rehabilitation,  Silicosis,  Worker"
Kamban Pugazh Literary Prize,"- Financial Assistance of 10,000/-. - No. of Awards",State/ UT,"Sports Culture, Social welfare Empowerment, Skills Employment","Artist,  Book,  Financial Assistance,  Prize,  Publication","Kamban Pugazh Literary Prize - Financial Assistance of 10,000/-. - No. of Awards Sports Culture, Social welfare Empowerment, Skills Employment Artist,  Book,  Financial Assistance,  Prize,  Publication"
